A Bad Moms Christmas,"This is the equivalent of rushing downstairs on Christmas morning, ripping your present open, and discovering all you got was a measly pair of socks.",NEGATIVE
A Bad Moms Christmas,"Desperately laboured, heavy-handed humour delivered loudly and lazily with a glaringly tired plot...",NEGATIVE
A Bad Moms Christmas,"While not cinematic excellence, A Bad Moms Christmas is a fun, guilty pleasure and put simply - a good time.",POSITIVE
A Bad Moms Christmas,There's only so much that a talented cast can do with a script that's just plain bad and a set-up that's completely uninspired.,NEGATIVE
A Beautiful Mind,Nash's character is perfectly suited to Crowe's ability to charm and confuse at the same moment.,POSITIVE
A Beautiful Mind,Its inspirational qualities to read more about the real John Nash (and all the things omitted from this biopic) might be the only lasting effect.,NEGATIVE
A Beautiful Mind,"Howard's A Beautiful Mind works because it is not a film about mental illness, but a film about John Nash.",POSITIVE
A Beautiful Mind,"Profoundly, exhaustingly mediocre, a fussily overdone bit of mindless prestige filmmaking.",NEGATIVE
A Better Life,;It is hard not to get wrapped up in the lives of these two people even if we pretty much know how everything is going to end&#46;,POSITIVE
A Better Life,Demian Bichir gives one of the year's finest leading performances.,POSITIVE
A Better Life,"A week and a half later, I still haven't stopped thinking about it. It is the summer, anti-blockbuster movie I am recommending to everyone.",POSITIVE
A Better Life,The stakes are high in A Better Life and Bichir matches the film's tormented tone with a portrayal of a man overcome by both fear and faith.,POSITIVE
A Cinderella Story,"Jennifer Coolidge is so funny as the evil stepmother, she has so many good lines.",POSITIVE
A Cinderella Story,Funny and sweet update of the Cinderella story.,POSITIVE
A Cinderella Story,"The movie will wash over adolescent female audiences who don't know any better like melted Brie on 110-degree asphalt, but for the rest of us it's a grueling waste of time.",NEGATIVE
A Cinderella Story,Charles Perrault must be spinning in his grave.,NEGATIVE
A Civil Action,Brilliantly understated performances&#44; flashes of wit and a heartbreaking true story aren't quite enough to make this movie memorable&#46;,POSITIVE
A Civil Action,A wonderful ride but an ultimately unfulfilling destination.,POSITIVE
A Civil Action,This is a case in which the material really is better served in book form.,NEGATIVE
A Civil Action,The movie becomes one more David-and-Goliath morality play&#46;,NEGATIVE
A Cure for Wellness,"Sheer peculiarity may earn A Cure for Wellness devoted enthusiasts, but those hoping for story logic or emotional involvement will feel unfulfilled.",NEGATIVE
A Cure for Wellness,Overstays its welcome and moves from 'fun creepy' to truly disturbing.,NEGATIVE
A Cure for Wellness,"Perhaps if this were played with a sense of how ridiculous it is, it may have been tolerable, but as it stands A Cure for Wellness is a Seatbelt Movie, a film so misguided I needed a seatbelt to prevent me from bolting from the theatre.",NEGATIVE
A Cure for Wellness,"Some diehard Verbinski aficionados may be on board for the self-indulgence, but for general audiences... well, let's just say that it is about as appealing as the eels it places so prominently in center frame.",NEGATIVE
A Dog's Purpose,"The problem with that premise is you have to watch a dog die 5 times, which is like Marley and Me times 5.",NEGATIVE
A Dog's Purpose,This film fails to earn a single emotional reaction of its own merit. Instead it preys on sadness offering little in return but misery and saccharine sentimentality.,NEGATIVE
A Dog's Purpose,Manipulative dog-friendly drama.,NEGATIVE
A Dog's Purpose,"A Dog's Purpose is a movie with a good heart telling a well-intentioned story, but the constant tugging of heartstrings ultimately results in a fraying that significantly lessens the overall impact of the film.",NEGATIVE
A Fantastic Woman,"A tough look at what the trans community experience on a daily basis. Marina's inner strength, self-love, and maturity are admirable and empowering. ",POSITIVE
A Fantastic Woman,A very solid film that has brought an interesting new face to the world's attention.,POSITIVE
A Fantastic Woman,"Even though most of Marina's existence is brutal and mean, the film maintains a chin-up hope that tomorrow will be better, if you keep on trying.",POSITIVE
A Fantastic Woman,[T]he film's idiosyncrasies [are] often as welcoming as its star herself.,POSITIVE
A Good Day to Die Hard, &#8220;A Good Day to Die Hard&#8221; is missing almost ever signature feature and clever nuance that has made this franchise great&#46;,NEGATIVE
A Good Day to Die Hard,A Good Day to Die Hard fails not only to meet the requirements of an ample Die Hard sequel&#44; but it also fails to be a watchable piece of mindless action&#46;,NEGATIVE
A Good Day to Die Hard,"Indubitably cares nothing for the old days, trudging forward with explosion after explosion and not much else.",NEGATIVE
A Good Day to Die Hard,"An sub-par action affair, suitable only for die-hard Die Hard- ists looking to collect the set.",NEGATIVE
A Good Year,"It's a film from which you'd expect the moon, the stars and the sun. What with an actor like Crowe and a director like Scott. Disappointingly, the talented duo gives you the most wishy-washy film of the year.",NEGATIVE
A Good Year,Predictable but pleasant movie for teens and up.,POSITIVE
A Good Year,Russell Crowe brings to bear his now-familiar acting tics in a not-so-tender romance by director Ridley Scott.,NEGATIVE
A Good Year,"[Russel Crowe's] supply of quips and pratfalls is inexhaustible, even when he's trapped at the bottom of a swimming pool surrounded by peat and dry leaves. Alas, he escapes.",NEGATIVE
A Guy Thing,...forgettable yet mostly watchable...,POSITIVE
A Guy Thing,A truly dire thing and a waste of good populist talent.,NEGATIVE
A Guy Thing,"Cycles through the same old cliches, like squares accidentally being dosed with drugs, overzealous pharmacists blaring out sensitive medical information (nothing like a good ol' venereal disease joke), and climactically scotched weddings. [Blu-ray]",NEGATIVE
A Guy Thing,"Lame, crude descendent of Meet the Parents.",NEGATIVE
A Kind of Murder,"Less cat-and-mouse than cat-and-mirror. The movie just sits there, proud to look pretty, not really doing anything.",NEGATIVE
A Kind of Murder,Where A Kind of Murder excels is with one of the key themes found in Patricia Highsmith's novel - ambiguity - the success of which comes primarily thanks to Patrick Wilson in his performance as Walter Stackhouse.,POSITIVE
